ICD10,ICD10 String,old_PheCode,Phenotype,Excl. Phecodes,Excl. Phenotypes,sex,pregnancy_related,category,category_string,PheCode
A01,Typhoid and paratyphoid fevers,008,Intestinal infection,001-009.99,Intestinal infection,,0.0,1.0,infectious diseases,GI_526
A02.1,Salmonella sepsis,038.1,Gram negative septicemia,010-041.99,bacterial infection,Both,0.0,1.0,infectious diseases,ID_092.2
A02.8,Other specified salmonella infections,008.5,Bacterial enteritis,001-009.99,Intestinal infection,Both,0.0,1.0,infectious diseases,ID_089.1
A03.9,"Shigellosis, unspecified",008.5,Bacterial enteritis,001-009.99,Intestinal infection,Both,0.0,1.0,infectious diseases,GI_526.1
A04.4,Other intestinal Escherichia coli infections,008.51,Intestinal e.coli,001-009.99,Intestinal infection,Both,0.0,1.0,infectious diseases,GI_526.11
A04.6,Enteritis due to Yersinia enterocolitica,008.5,Bacterial enteritis,001-009.99,Intestinal infection,Both,0.0,1.0,infectious diseases,GI_526.1
A06.0,Acute amoebic dysentery,008,Intestinal infection,001-009.99,Intestinal infection,,0.0,1.0,infectious diseases,GI_526.3
A07.1,Giardiasis [lambliasis],008.7,Intestinal infection due to protozoa,001-009.99,Intestinal infection,Both,0.0,1.0,infectious diseases,GI_526.3
A07.2,Cryptosporidiosis,008.7,Intestinal infection due to protozoa,001-009.99,Intestinal infection,Both,0.0,1.0,infectious diseases,GI_526.3
A08.3,Other viral enteritis,008.6,Viral Enteritis,001-009.99,Intestinal infection,Both,0.0,1.0,infectious diseases,GI_526.2
A15.2,"Tuberculosis of lung, confirmed histologically",010,Tuberculosis,010-041.99,bacterial infection,,0.0,1.0,infectious diseases,RE_460.3
A18.2,Tuberculous peripheral lymphadenopathy,010,Tuberculosis,010-041.99,bacterial infection,,0.0,1.0,infectious diseases,BI_177.2
A18.7,Tuberculosis of adrenal glands,010,Tuberculosis,010-041.99,bacterial infection,,0.0,1.0,infectious diseases,ID_089.1
A19.2,"Acute miliary tuberculosis, unspecified",010,Tuberculosis,010-041.99,bacterial infection,,0.0,1.0,infectious diseases,ID_089.1
A19.9,"Miliary tuberculosis, unspecified",010,Tuberculosis,010-041.99,bacterial infection,,0.0,1.0,infectious diseases,ID_089.1
A21,Tularaemia,041,Bacterial infection NOS,010-041.99,bacterial infection,,0.0,1.0,infectious diseases,ID_089.1
A21.0,Ulceroglandular tularaemia,686,Other local infections of skin and subcutaneous tissue,680-686.99,Skin and subcutaneous tissue infections,Both,0.0,13.0,dermatologic,ID_089.1
A21.3,Gastrointestinal tularaemia,008,Intestinal infection,001-009.99,Intestinal infection,,0.0,1.0,infectious diseases,GI_526
A21.9,"Tularaemia, unspecified",041,Bacterial infection NOS,010-041.99,bacterial infection,,0.0,1.0,infectious diseases,ID_089.1
A22.0,Cutaneous anthrax,686,Other local infections of skin and subcutaneous tissue,680-686.99,Skin and subcutaneous tissue infections,Both,0.0,13.0,dermatologic,DE_660.2
A22.2,Gastrointestinal anthrax,008,Intestinal infection,001-009.99,Intestinal infection,,0.0,1.0,infectious diseases,GI_526
A23.0,Brucellosis due to Brucella melitensis,041,Bacterial infection NOS,010-041.99,bacterial infection,,0.0,1.0,infectious diseases,ID_089.1
A23.3,Brucellosis due to Brucella canis,041,Bacterial infection NOS,010-041.99,bacterial infection,,0.0,1.0,infectious diseases,ID_089.1
A24.4,"Melioidosis, unspecified",041,Bacterial infection NOS,010-041.99,bacterial infection,,0.0,1.0,infectious diseases,ID_089.1
A27.0,Leptospirosis icterohaemorrhagica,130,Spirochetal infection,130-136.99,Other infections; including parasitic,,0.0,1.0,infectious diseases,ID_089.1
A27.8,Other forms of leptospirosis,130,Spirochetal infection,130-136.99,Other infections; including parasitic,,0.0,1.0,infectious diseases,ID_089.1
A30.4,Borderline lepromatous leprosy,031.1,Leprosy,010-041.99,bacterial infection,Both,0.0,1.0,infectious diseases,ID_089.1
A35,Other tetanus,041,Bacterial infection NOS,010-041.99,bacterial infection,,0.0,1.0,infectious diseases,ID_089.1
A37.9,"Whooping cough, unspecified",041,Bacterial infection NOS,010-041.99,bacterial infection,,0.0,1.0,infectious diseases,ID_089.1
A40.0,"Sepsis due to streptococcus, group A",038.1,Gram negative septicemia,010-041.99,bacterial infection,Both,0.0,1.0,infectious diseases,ID_092.2
A40.1,"Sepsis due to streptococcus, group B",038.1,Gram negative septicemia,010-041.99,bacterial infection,Both,0.0,1.0,infectious diseases,ID_092.2
A40.2,"Sepsis due to streptococcus, group D",041.2,Streptococcus infection,010-041.99,bacterial infection,Both,0.0,1.0,infectious diseases,ID_092.2
A40.8,Other streptococcal sepsis,038.1,Gram negative septicemia,010-041.99,bacterial infection,Both,0.0,1.0,infectious diseases,ID_092.2
A40.9,"Streptococcal sepsis, unspecified",038.1,Gram negative septicemia,010-041.99,bacterial infection,Both,0.0,1.0,infectious diseases,ID_092.2
A46,Erysipelas,686,Other local infections of skin and subcutaneous tissue,680-686.99,Skin and subcutaneous tissue infections,Both,0.0,13.0,dermatologic,DE_660.23
A48.1,Legionnaires disease,480.1,Bacterial pneumonia,480-488.99,Pneumonia and influenza,Both,0.0,9.0,respiratory,RE_468.2
A49.8,Other bacterial infections of unspecified site,041,Bacterial infection NOS,010-041.99,bacterial infection,,0.0,1.0,infectious diseases,ID_089.1
A50,Congenital syphilis,090,Sexually transmitted infections (not HIV or hepatitis),090-092.99,Sexually transmitted infections (not hiv or hepatitis),,0.0,1.0,infectious diseases,NB_856.7
A50.5,"Other late congenital syphilis, symptomatic",090,Sexually transmitted infections (not HIV or hepatitis),090-092.99,Sexually transmitted infections (not hiv or hepatitis),,0.0,1.0,infectious diseases,NB_856.7
A51.0,Primary genital syphilis,090,Sexually transmitted infections (not HIV or hepatitis),090-092.99,Sexually transmitted infections (not hiv or hepatitis),,0.0,1.0,infectious diseases,ID_089.1
A53.0,"Latent syphilis, unspecified as early or late",090,Sexually transmitted infections (not HIV or hepatitis),090-092.99,Sexually transmitted infections (not hiv or hepatitis),,0.0,1.0,infectious diseases,ID_089.1
