PheCode,Phenotype,ICD9,ICD9 String,phewas_code,phewas_string,exclude_range,rollup_bool,Ignore_bool,sex,pregnancy_related,category,category_string,vocabulary_id,icd10_only,groupnum,group,color
GI_526,Intestinal infection,001,Cholera,008,Intestinal infection,001-009.99,1,0,,0,1,infectious diseases,ICD9CM,0,10,Gastrointestinal,#FFD700
GI_526,Intestinal infection,001.0,Cholera due to Vibrio cholerae,008,Intestinal infection,001-009.99,1,0,,0,1,infectious diseases,ICD9CM,0,10,Gastrointestinal,#FFD700
GI_526,Intestinal infection,001.1,Cholera due to Vibrio cholerae el tor,008,Intestinal infection,001-009.99,1,0,,0,1,infectious diseases,ICD9CM,0,10,Gastrointestinal,#FFD700
GI_526,Intestinal infection,001.9,Cholera NOS,008,Intestinal infection,001-009.99,1,0,,0,1,infectious diseases,ICD9CM,0,10,Gastrointestinal,#FFD700
GI_526,Intestinal infection,002,Typhoid and paratyphoid fevers,008,Intestinal infection,001-009.99,1,0,,0,1,infectious diseases,ICD9CM,0,10,Gastrointestinal,#FFD700
GI_526,Intestinal infection,002.1,Paratyphoid fever A,008,Intestinal infection,001-009.99,1,0,,0,1,infectious diseases,ICD9CM,0,10,Gastrointestinal,#FFD700
GI_526,Intestinal infection,002.2,Paratyphoid fever B,008,Intestinal infection,001-009.99,1,0,,0,1,infectious diseases,ICD9CM,0,10,Gastrointestinal,#FFD700
GI_526,Intestinal infection,002.3,Paratyphoid fever C,008,Intestinal infection,001-009.99,1,0,,0,1,infectious diseases,ICD9CM,0,10,Gastrointestinal,#FFD700
GI_526,Intestinal infection,002.9,Paratyphoid fever NOS,008,Intestinal infection,001-009.99,1,0,,0,1,infectious diseases,ICD9CM,0,10,Gastrointestinal,#FFD700
GI_526,Intestinal infection,005.9,Food poisoning NOS,008,Intestinal infection,001-009.99,1,0,,0,1,infectious diseases,ICD9CM,0,10,Gastrointestinal,#FFD700
GI_526,Intestinal infection,006,Amebiasis,008,Intestinal infection,001-009.99,1,0,,0,1,infectious diseases,ICD9CM,0,10,Gastrointestinal,#FFD700
GI_526,Intestinal infection,006.0,Acute amebic dysentery without mention of abscess,008,Intestinal infection,001-009.99,1,0,,0,1,infectious diseases,ICD9CM,0,10,Gastrointestinal,#FFD700
GI_526,Intestinal infection,006.2,Amebic nondysenteric colitis,008,Intestinal infection,001-009.99,1,0,,0,1,infectious diseases,ICD9CM,0,10,Gastrointestinal,#FFD700
GI_526,Intestinal infection,006.3,Amebic liver abscess,008,Intestinal infection,001-009.99,1,0,,0,1,infectious diseases,ICD9CM,0,10,Gastrointestinal,#FFD700
GI_526,Intestinal infection,006.4,Amebic lung abscess,008,Intestinal infection,001-009.99,1,0,,0,1,infectious diseases,ICD9CM,0,10,Gastrointestinal,#FFD700
GI_526,Intestinal infection,006.5,Amebic brain abscess,008,Intestinal infection,001-009.99,1,0,,0,1,infectious diseases,ICD9CM,0,10,Gastrointestinal,#FFD700
GI_526,Intestinal infection,006.6,Amebic skin ulceration,008,Intestinal infection,001-009.99,1,0,,0,1,infectious diseases,ICD9CM,0,10,Gastrointestinal,#FFD700
GI_526,Intestinal infection,006.8,Amebic infection of other sites,008,Intestinal infection,001-009.99,1,0,,0,1,infectious diseases,ICD9CM,0,10,Gastrointestinal,#FFD700
GI_526,Intestinal infection,006.9,Amebiasis NOS,008,Intestinal infection,001-009.99,1,0,,0,1,infectious diseases,ICD9CM,0,10,Gastrointestinal,#FFD700
GI_526,Intestinal infection,007,Other protozoal intestinal diseases,008,Intestinal infection,001-009.99,1,0,,0,1,infectious diseases,ICD9CM,0,10,Gastrointestinal,#FFD700
