ICD_CODE,vocabulary_id,ICD_string,PheCode,Phenotype,category,category_string
003.24,ICD9CM,Salmonella osteomyelitis,ID_001,Salmonella,01,Infections
003.22,ICD9CM,Salmonella pneumonia,ID_001,Salmonella,01,Infections
003.8,ICD9CM,Other specified salmonella infections,ID_001,Salmonella,01,Infections
003.9,ICD9CM,Salmonella infection NOS,ID_001,Salmonella,01,Infections
003.20,ICD9CM,"Localized salmonella infection, unspecified",ID_001,Salmonella,01,Infections
003.2,ICD9CM,Localized salmonella infections,ID_001,Salmonella,01,Infections
003.1,ICD9CM,Salmonella septicemia,ID_001,Salmonella,01,Infections
003.0,ICD9CM,Salmonella gastroenteritis,ID_001,Salmonella,01,Infections
003,ICD9CM,Other salmonella infections,ID_001,Salmonella,01,Infections
003.21,ICD9CM,Salmonella meningitis,ID_001,Salmonella,01,Infections
003.29,ICD9CM,Other localized salmonella infections,ID_001,Salmonella,01,Infections
002,ICD9CM,Typhoid and paratyphoid fevers,ID_001,Salmonella,01,Infections
002.0,ICD9CM,Typhoid fever,ID_001,Salmonella,01,Infections
002.9,ICD9CM,Paratyphoid fever NOS,ID_001,Salmonella,01,Infections
002.3,ICD9CM,Paratyphoid fever C,ID_001,Salmonella,01,Infections
002.2,ICD9CM,Paratyphoid fever B,ID_001,Salmonella,01,Infections
002.1,ICD9CM,Paratyphoid fever A,ID_001,Salmonella,01,Infections
482.40,ICD9CM,"Pneumonia due to Staphylococcus, unspecified",ID_002,Staphylococcus,01,Infections
482.4,ICD9CM,Pneumonia due to Staphylococcus,ID_002,Staphylococcus,01,Infections
482.49,ICD9CM,Other Staphylococcus pneumonia,ID_002,Staphylococcus,01,Infections
038.1,ICD9CM,Staphylococcal septicemia,ID_002,Staphylococcus,01,Infections
008.41,ICD9CM,Intestinal infection due to staphylococcus,ID_002,Staphylococcus,01,Infections
041.1,ICD9CM,Staphylococcus infection in conditions classified elsewhere and of unspecified site,ID_002,Staphylococcus,01,Infections
320.3,ICD9CM,Staphylococcal meningitis,ID_002,Staphylococcus,01,Infections
041.19,ICD9CM,Other Staphylococcus infection in conditions classified elsewhere and of unspecified site,ID_002,Staphylococcus,01,Infections
038.19,ICD9CM,Other staphylococcal septicemia,ID_002,Staphylococcus,01,Infections
005.0,ICD9CM,Staphylococcal food poisoning,ID_002,Staphylococcus,01,Infections
038.10,ICD9CM,"Staphylococcal septicemia, unspecified",ID_002,Staphylococcus,01,Infections
041.10,ICD9CM,Unspecified Staphylococcus infection in conditions classified elsewhere and of unspecified site,ID_002,Staphylococcus,01,Infections
038.12,ICD9CM,Methicillin resistant Staphylococcus aureus septicemia,ID_002.1,Staphylococcus aureus,01,Infections
041.11,ICD9CM,Methicillin susceptible Staphylococcus aureus infection in conditions classified elsewhere and of unspecified site,ID_002.1,Staphylococcus aureus,01,Infections
041.12,ICD9CM,Methicillin resistant Staphylococcus aureus in conditions classified elsewhere and of unspecified site,ID_002.1,Staphylococcus aureus,01,Infections
038.11,ICD9CM,Methicillin susceptible Staphylococcus aureus septicemia,ID_002.1,Staphylococcus aureus,01,Infections
